field1,field2,field3,field4,field5,field6,_GC_TYPE,_X,_Y
코레일,4호선,인덕원,경기도 안양시 동안구 관양동 1563,경기도 안양시 동안구 흥안대로 지하 529,,정,126.97668848905671,37.40150866358392
코레일,4호선,반월,경기도 안산시 상록구 건건동 산62-1,경기도 안산시 상록구 건건로 119-10,,정,126.90382710787615,37.31193115469408
코레일,4호선,정부과천청사,경기도 과천시 별양동 1,경기도 과천시 중앙로 지하 100,,정,126.99018631065461,37.4259983773544
코레일,4호선,정왕,경기도 시흥시 정왕동 2325-12,경기도 시흥시 마유로418번길 15,,정,126.74300955148723,37.35177350416102
코레일,4호선,산본,경기도 군포시 산본동 1231,경기도 군포시 번영로 504,,정,126.93317515836804,37.35810524511555
코레일,4호선,평촌,경기도 안양시 동안구 관양동 1608-1,경기도 안양시 동안구 부림로 지하 123,,정,126.96404512296886,37.39415812798318
코레일,4호선,범계,경기도 안양시 동안구 호계동 1039-2,경기도 안양시 동안구 동안로 지하130,,정,126.950984339141,37.38973556641889
코레일,4호선,오이도,경기도 시흥시 정왕동 878,경기도 시흥시 역전로 430,,정,126.73846397505785,37.36192797589603
코레일,4호선,상록수,경기도 안산시 상록구 본오동 1177,경기도 안산시 상록구 상록수로 61,,정,126.86541798553142,37.30298080868062
서울교통공사,4호선,당고개,서울특별시 노원구 상계동 111,서울특별시 노원구 상계로 305,,정,127.07901058498173,37.670292047639634
코레일,4호선,안산,경기도 안산시 단원구 원곡동 325-12,경기도 안산시 단원구 중앙대로 462,,정,126.78941513425806,37.3273096786108
코레일,4호선,중앙,경기도 안산시 단원구 고잔동 167-378,경기도 안산시 단원구 중앙대로 918,,정,126.83848791776195,37.315901546320454
코레일,4호선,한대앞,경기도 안산시 상록구 이동 211-5,경기도 안산시 상록구 충장로 337,,정,126.8536035937878,37.3101387327021
서울교통공사,4호선,길음,서울특별시 성북구 길음동 877-66,서울특별시 성북구 동소문로 지하 248,,정,127.02364278147205,37.6029488882535
코레일,4호선,신길온천,경기도 안산시 단원구 신길동 216-2,경기도 안산시 단원구 황고개로 2,,정,126.7671492550143,37.337579305607974
서울교통공사,4호선,성신여대입구(돈암),서울특별시 성북구 동선동4가 1,서울특별시 성북구 동소문로 지하 102,,정,127.01647772260121,37.59271744435348
코레일,4호선,초지,경기도 안산시 단원구 초지동 25-1,경기도 안산시 단원구 중앙대로 620,,정,126.80590514455709,37.32069231382778
코레일,4호선,고잔,경기도 안산시 단원구 고잔동 453-67,경기도 안산시 단원구 중앙대로 784,,정,126.82313697237514,37.31680805197
서울교통공사,4호선,상계,서울특별시 노원구 상계동 156-203,서울특별시 노원구 상계로 182,,정,127.07357555812717,37.660903146481914
서울교통공사,4호선,미아,서울특별시 강북구 미아동 194-1,서울특별시 강북구 도봉로 지하 198,,정,127.02610276277832,37.62644323615056
